Distribution statistics of daily log FX changes (all currencies, weekdays only)
Daily log change = log(level_t) - log(level_{t-1})

currency         p01         p02         p05         p10         p25         p50         p75         p90         p95         p98         p99        mean        std     skewness      kurtosis  n_log_changes
     GRD -0.01553316 -0.01315056 -0.00995653 -0.00725126 -0.00343909  0.00000000  0.00336506  0.00726590  0.01015771  0.01312048  0.01593992 -0.00002277 0.00613770  -0.14590911    2.53049950           4805
     GTQ -0.01038165 -0.00703780 -0.00374200 -0.00201114 -0.00057550 -0.00000496  0.00045544  0.00201990  0.00385392  0.00758264  0.01036806  0.00000493 0.00517228   0.46671605  210.56332225           6886
     GYD -0.01470954 -0.01299459 -0.00798948 -0.00518469 -0.00151964  0.00000078  0.00170998  0.00509573  0.00817504  0.01312530  0.01535393  0.00002302 0.00546220   0.25160066   13.60480745           6886
     HKD -0.00132970 -0.00103874 -0.00064062 -0.00040893 -0.00014176  0.00000261  0.00016320  0.00042281  0.00062570  0.00094119  0.00119071  0.00000112 0.00043046  -1.24631521   20.74885759           6886
     HNL -0.01387981 -0.01099758 -0.00686303 -0.00347051 -0.00048497  0.00000048  0.00041900  0.00381851  0.00743624  0.01185643  0.01482249  0.00008840 0.00525754   0.87467203   77.69306859           6886
     HRK -0.01667242 -0.01360937 -0.00996136 -0.00688702 -0.00315521  0.00000071  0.00310285  0.00693856  0.00979432  0.01341442  0.01577776 -0.00001221 0.00615206   0.09694745    7.91149082           6000
     HTG -0.02646528 -0.01824399 -0.01132885 -0.00747388 -0.00194238  0.00000000  0.00195460  0.00815454  0.01293311  0.02367248  0.03422381  0.00029444 0.01425117  -6.19707109  327.13397466           6886
     HUF -0.02276392 -0.01796575 -0.01314579 -0.00958897 -0.00452841 -0.00006682  0.00442671  0.00969629  0.01375709  0.01899680  0.02371659  0.00002922 0.00848391   0.10580507    3.56345844           6886
     IDR -0.01630454 -0.01265263 -0.00811697 -0.00514934 -0.00191349  0.00004456  0.00217616  0.00524665  0.00808651  0.01262649  0.01801520  0.00013492 0.00596864   0.62150859   27.08423508           6886
     IEP -0.01556400 -0.01321523 -0.00996455 -0.00721058 -0.00345027  0.00000000  0.00335205  0.00727026  0.01015689  0.01311371  0.01590760 -0.00002949 0.00614147  -0.14668387    2.53727273           4805
     ILS -0.01368995 -0.01131551 -0.00791420 -0.00565460 -0.00260702 -0.00010942  0.00243151  0.00563017  0.00795063  0.01095507  0.01393772 -0.00005385 0.00502260   0.22532832    4.33751628           6886
